A.Abbara;A.Alemi
A.Falkner;A.Song
A.Falkner;D.Lin
A.Fenton;B.Radwan
A.Fenton;D.Dvorak
A.Fenton;F.Sparks
A.Fenton;Z.Talbot
A.Fenton;M.Dijk
A.Fontanini;G.Camera
A.Fontanini;L.Mazzucato
A.Gajic;C.Clopath
A.Gajic;R.Silver
A.Galgali;V.Mante
A.Genkin;C.Pehlevan
A.Genkin;D.Chklovski
A.Ghanbari;I.Stevenson
A.Giahi;X.Pitkow
A.Gilra;W.Gerstner
A.Giovannucci;B.Deverett
A.Giovannucci;D.Chklovskii
A.Giovannucci;E.Pnevmatikakis
A.Giovannucci;J.Friedrich
A.Giovannucci;V.Staneva
A.HERMOSO-MENDIZABAL;A.HYAFIL
A.HERMOSO-MENDIZABAL;D.ROBBE
A.HERMOSO-MENDIZABAL;J.ROCHA
A.HERMOSO-MENDIZABAL;P.RUEDA-OROZCO
A.HERMOSO-MENDIZABAL;S.Jaramillo
A.HYAFIL;A.HERMOSO-MENDIZABAL
A.HYAFIL;D.ROBBE
A.HYAFIL;J.ROCHA
A.HYAFIL;P.RUEDA-OROZCO
A.HYAFIL;S.Jaramillo
A.Hady;A.Piet
A.Hady;C.Brody
A.Handler;A.Siliciano
A.Handler;I.Morantte
A.Handler;R.Cohn
A.Handler;V.Ruta
A.Hasenstaub;E.Phillips
A.Hasenstaub;R.Morrill
A.Hasenstaub;E.Phillips
A.Hasenstaub;B.Malone
A.Hasenstaub;E.Phillips
A.Hasenstaub;N.Hoglen
A.Hasenstaub;P.Larimer
A.Hermundstad;W.Mlynarski
A.Huk;A.Kohn
A.Huk;K.Bonnen
A.Huk;L.Cormack
A.Huk;T.Czuba
A.Huk;J.Knoell
A.Huk;J.Pillow
A.Huk;E.Hart
A.Huk;L.Katz
A.Huth;A.Nunez-Elizalde
A.Huth;F.Deniz
A.Huth;J.Gallant
A.Huth;L.Wehbe
A.Huth;N.Bilenko
A.Huth;F.Deniz
A.Huth;J.Gallant
A.Izquierdo;A.Stolyarova
A.Jacot-Guillarmod;C.Pedroza
A.Jacot-Guillarmod;H.Ogmen
A.Jacot-Guillarmod;K.Josic
A.Jacot-Guillarmod;Y.Wang
A.Jacot-Guillarmod;Z.Kilpatrick
A.Karpova;B.Scott
A.Karpova;C.Brody
A.Karpova;C.Guo
A.Karpova;D.Tank
A.Karpova;D.Tervo
A.Karpova;S.Thiberge
A.Keinath;R.Epstein
A.Keinath;V.Balasubramanian
A.Kell;J.McDermott
A.Kepecs;J.Hirokawa
A.Kepecs;P.Masset
A.Kepecs;T.Ott
A.Khan;A.Blot
A.Khan;A.Chadwick
A.Khan;J.Poort
A.Khan;M.Sahani
A.Khan;S.Hofer
A.Khan;T.Mrsic-Flogel
A.Kim;C.Lyu
A.Kim;G.Maimon
A.Kim;L.Fenk
A.Kinkhabwala;C.Domnisoru
A.Kinkhabwala;D.Tank
A.Kinkhabwala;J.Gauthier
A.Kinkhabwala;Y.Gu
A.Kohn;R.Coen-Cagli
A.Kohn;A.Huk
A.Kohn;K.Bonnen
A.Kohn;L.Cormack
A.Kohn;T.Czuba
A.Kohn;A.Zandvakili
A.Kohn;B.Cowley
A.Kohn;B.Yu
A.Kohn;J.Semedo
A.Kohn;M.Smith
A.Koulakov;D.Kepple
A.Kreiter;E.Drebitz
A.Kreiter;H.Stemmann
A.Kreiter;L.Rausch
A.Kuczala;T.Sharpee
A.Kunin;V.Itskov
A.Langdon;G.Schoenbaum
A.Langdon;M.Roesch
A.Langdon;Y.Niv
A.Langdon;Y.Takahashi
A.Lazar;G.Orban
A.Lazar;M.Banyai
A.Lazar;M.Stippinger
A.Lazar;W.Singer
A.Lazar;A.Chiang
A.Lazar;A.Tomkins
A.Lazar;C.Lo
A.Lazar;C.Ortiz
A.Lazar;C.Wang
A.Lazar;C.Yeh
A.Lazar;D.Coca
A.Lazar;D.Florescu
A.Lazar;N.Ukani
A.Lazar;P.Richmond
A.Lazar;Y.Huang
A.Lazar;Y.Zhou
A.Leonhardt;A.Borst
A.Leonhardt;A.Mauss
A.Levina;V.Priesemann
A.Litke;E.Chichilnisky
A.Litke;G.Mena
A.Litke;J.Cunningham
A.Litke;L.Grosberg
A.Litke;L.Paninski
A.Litke;P.Hottowy
A.Litke;S.Madugula
A.Litke;A.Sher
A.Litke;A.Tikidji-Hamburyan
A.Litke;C.Rhoades
A.Litke;E.Chichilnisky
A.Litke;E.Simoncelli
A.Litke;G.Goetz
A.Litke;L.Paninski
A.Litke;N.Brackbill
A.Litke;N.Shah
A.Litke;D.Feldheim
A.Litke;S.Ito
A.Litke;A.Sher
A.Litke;A.Tikidji-Hamburyan
A.Litke;C.Rhoades
A.Litke;E.Chichilnisky
A.Litke;G.Goetz
A.Litke;J.Shlens
A.Litke;N.Brackbill
A.Litke;N.Shah
A.Litke;V.Gupta
A.Litke;Y.Singer
A.Litwin-Kumar;H.Sompolinsky
A.Litwin-Kumar;K.Harris
A.Litwin-Kumar;L.Abbott
A.Litwin-Kumar;R.Axel
A.Maccione;E.Sernagor
A.Maccione;G.Hilgen
A.Maccione;H.Amin
A.Maccione;L.Berdondini
A.Maccione;M.Hennig
A.Maccione;M.Sindaci
A.Maier;J.Westerberg
A.Maier;K.Dougherty
A.Maier;M.Cox
A.Malvache;A.Torcini
A.Malvache;C.Haimerl
A.Malvache;D.Angulo-Garcia
A.Malvache;R.Cossart
A.Mamiya;J.Tuthill
A.Mathis;A.Ding
A.Mathis;A.Wei
A.Mathis;M.Bethge
A.Mathis;V.Murthy
A.Mathis;M.Amoroso
A.Mathis;N.Uchida
A.Mauss;A.Borst
A.Mauss;A.Leonhardt
A.Miller;D.Blei
A.Miller;L.Paninski
A.Miller;M.Johnson
A.Miller;R.Adams
A.Miller;S.Linderman
A.Miri;C.Warriner
A.Miri;G.Elsayed
A.Miri;J.Cunningham
A.Miri;J.Seely
A.Miri;L.Abbott
A.Miri;M.Churchland
A.Miri;T.Jessell
A.Mitz;B.Averbeck
A.Mitz;P.Browning
A.Mitz;R.Bartolo
A.Mitz;R.Saunders
A.Mokhtari;K.Beier
A.Mokhtari;L.Luo
A.Mokhtari;N.Wall
A.Mokhtari;P.Neumann
A.Mokhtari;R.Malenka
A.Motiwala;B.Atallah
A.Motiwala;C.Machens
A.Motiwala;J.Paton
A.Motiwala;S.Soares
A.Motiwala;F.Rodrigues
A.Motiwala;J.Paton
A.Motiwala;T.Gouvea
A.Motiwala;T.Monteiro
A.Murugan;D.Schwab
A.Murugan;H.Kim
A.Murugan;W.Zhong
A.Nunez-Elizalde;A.Huth
A.Nunez-Elizalde;F.Deniz
A.Nunez-Elizalde;J.Gallant
A.Nunez-Elizalde;L.Wehbe
A.Nunez-Elizalde;N.Bilenko
A.Oganov;D.Rinberg
A.Oganov;E.Chong
A.Oganov;J.Kappel
A.Onken;F.Rozenblit
A.Onken;H.Schreyer
A.Onken;J.Liu
A.Onken;M.Khani
A.Onken;S.Panzeri
A.Onken;T.Gollisch
A.Otopalik;E.Marder
A.Packer;J.Yan
A.Packer;L.Aitchison
A.Packer;L.Russell
A.Packer;M.Hausser
A.Packer;P.Castonguay
A.Packer;S.Turaga
A.Palmigiano;F.Wolf
A.Pasupathy;E.Shea-Brown
A.Pasupathy;H.Choi
A.Piet;A.Hady
A.Piet;C.Brody
A.Piet;C.Brody
A.Piet;D.Gupta
A.Piet;M.Pagan
A.Ponce-Alvarez;G.Deco
A.Ponce-Alvarez;K.Glomb
A.Ponce-Alvarez;M.Gilson
A.Ponce-Alvarez;P.Ritter
A.Pouget;J.Drugowitsch
A.Pouget;S.Tajima
A.Prinz;C.Gunay
A.Prinz;K.Tian
A.Pruszynski;C.Zhao
A.Pruszynski;M.Daley
A.Radillo;A.Veliz-Cuba
A.Radillo;K.Josic
A.Radillo;Z.Kilpatrick
A.Reyes;J.Barral
A.Reyes;X.Wang
A.Rokem;G.Boynton
A.Rokem;I.Fine
A.Rokem;M.Beyeler
A.Roorda;A.Anderson
A.Roorda;B.Olshausen
A.Roorda;K.Ratnam
A.Rubin;H.Rouault
A.Rubin;S.Romani
A.Samuel;C.Tabone
A.Samuel;G.Si
A.Samuel;J.Kanwal
A.Samuel;M.Berck
A.Samuel;Y.Hu
A.Samulak;A.Zolin
A.Samulak;I.Morantte
A.Samulak;R.Cohn
A.Samulak;V.Ruta
A.Sengupta;D.Chklovskii
A.Sharan;B.Jobst
A.Sharan;B.Lega
A.Sharan;D.Rizzuto
A.Sharan;E.Solomon
A.Sharan;G.Worrell
A.Sharan;J.Kragel
A.Sharan;J.Stein
A.Sharan;K.Davis
A.Sharan;K.Zaghloul
A.Sharan;M.Kahana
A.Sharan;M.Kucewicz
A.Sharan;M.Sperling
A.Sharan;R.Gross
A.Sharan;S.Sheth
A.Sher;A.Litke
A.Sher;A.Tikidji-Hamburyan
A.Sher;C.Rhoades
A.Sher;E.Chichilnisky
A.Sher;E.Simoncelli
A.Sher;G.Goetz
A.Sher;L.Paninski
A.Sher;N.Brackbill
A.Sher;N.Shah
A.Sher;A.Litke
A.Sher;A.Tikidji-Hamburyan
A.Sher;C.Rhoades
A.Sher;E.Chichilnisky
A.Sher;G.Goetz
A.Sher;J.Shlens
A.Sher;N.Brackbill
A.Sher;N.Shah
A.Sher;V.Gupta
A.Sher;Y.Singer
A.Shklarsh;E.Karpas
A.Shklarsh;E.Schneidman
A.Siliciano;A.Handler
A.Siliciano;I.Morantte
A.Siliciano;R.Cohn
A.Siliciano;V.Ruta
A.Smith;C.Barnes
A.Smith;D.Ba
A.Smith;D.Gray
A.Smith;N.Shinitski
A.Smith;S.Burke
A.Smith;Y.Zhang
A.Soltani;P.Khorsand
A.Song;A.Falkner
A.Song;D.Lin
A.Song;A.Charles
A.Song;D.Tank
A.Song;J.Gauthier
A.Song;J.Pillow
A.Song;S.Koay
A.Speiser;E.Archer
A.Speiser;J.Macke
A.Speiser;S.Turaga
A.Stepanyants;D.Zhang
A.Stolyarova;A.Izquierdo
A.Sugden;B.Lowell
A.Sugden;C.Burgess
A.Sugden;H.Fenselau
A.Sugden;K.Levandowski
A.Sugden;M.Andermann
A.Sugden;M.Minnig
A.Sugden;R.Ramesh
A.Sugden;D.Levy
A.Sugden;H.Gariepy
A.Sugden;J.Zhao
A.Sugden;K.Levandowski
A.Sugden;M.Andermann
A.Tikidji-Hamburyan;A.Litke
A.Tikidji-Hamburyan;A.Sher
A.Tikidji-Hamburyan;C.Rhoades
A.Tikidji-Hamburyan;E.Chichilnisky
A.Tikidji-Hamburyan;E.Simoncelli
A.Tikidji-Hamburyan;G.Goetz
A.Tikidji-Hamburyan;L.Paninski
A.Tikidji-Hamburyan;N.Brackbill
A.Tikidji-Hamburyan;N.Shah
A.Tikidji-Hamburyan;A.Litke
A.Tikidji-Hamburyan;A.Sher
A.Tikidji-Hamburyan;C.Rhoades
A.Tikidji-Hamburyan;E.Chichilnisky
A.Tikidji-Hamburyan;G.Goetz
A.Tikidji-Hamburyan;J.Shlens
A.Tikidji-Hamburyan;N.Brackbill
A.Tikidji-Hamburyan;N.Shah
A.Tikidji-Hamburyan;V.Gupta
A.Tikidji-Hamburyan;Y.Singer
A.Tolias;A.Ecker
A.Tolias;E.Walker
A.Tolias;G.Denfield
A.Tolias;M.Bethge
A.Tolias;S.Cadena
A.Tolias;J.Freeman
A.Tolias;J.Stone
A.Tolias;L.Theis
A.Tolias;M.Bethge
A.Tolias;N.Sofroniew
A.Tolias;P.Berens
A.Tomkins;A.Chiang
A.Tomkins;A.Lazar
A.Tomkins;C.Lo
A.Tomkins;C.Ortiz
A.Tomkins;C.Wang
A.Tomkins;C.Yeh
A.Tomkins;D.Coca
A.Tomkins;D.Florescu
A.Tomkins;N.Ukani
A.Tomkins;P.Richmond
A.Tomkins;Y.Huang
A.Tomkins;Y.Zhou
A.Torcini;A.Malvache
A.Torcini;C.Haimerl
A.Torcini;D.Angulo-Garcia
A.Torcini;R.Cossart
A.Vaughan;A.Zador
A.Vaughan;X.Chen
A.Veliz-Cuba;A.Radillo
A.Veliz-Cuba;K.Josic
A.Veliz-Cuba;Z.Kilpatrick
A.Walther;J.Mehrer
A.Walther;K.Storrs
A.Walther;N.Kriegeskorte
A.Waters;A.Crowell
A.Waters;H.Mayberg
A.Waters;L.Tao
A.Waters;P.Riva-Posse
A.Waters;R.Butera
A.Waters;R.Konda
A.Waters;V.Tiruvadi
A.Wei;A.Ding
A.Wei;A.Mathis
A.Wei;M.Bethge
A.Wei;V.Murthy
A.Welchman;N.Goncalves
A.Williams;F.Wang
A.Williams;H.Kim
A.Williams;K.Shenoy
A.Williams;M.Schnitzer
A.Williams;S.Ganguli
A.Williams;S.Vyas
A.Williams;T.Kolda
A.Williams;B.Poole
A.Williams;B.Yu
A.Williams;G.Santhanam
A.Williams;K.Shenoy
A.Williams;N.Maheswaranathan
A.Williams;S.Baccus
A.Williams;S.Ganguli
A.Williams;S.Ryu
A.Williams;C.Stock
A.Williams;S.Ganguli
A.Williams;S.Lahiri
A.Yousefi;L.Frank
A.Yousefi;U.Eden
A.Zador;J.Kebschull
A.Zador;L.Huang
A.Zador;A.Vaughan
A.Zador;X.Chen
A.Zaharia;E.Simoncelli
A.Zaharia;J.Movshon
A.Zaharia;R.Goris
A.Zandvakili;A.Kohn
A.Zandvakili;B.Cowley
A.Zandvakili;B.Yu
A.Zandvakili;J.Semedo
A.Zandvakili;M.Smith
A.Zolin;A.Samulak
A.Zolin;I.Morantte
A.Zolin;R.Cohn
A.Zolin;V.Ruta
B.Aazhang;D.Johnson
B.Aazhang;G.Kalamangalam
B.Aazhang;N.Tandon
B.Aazhang;R.Malladi
B.Albanna;I.Carcea
B.Albanna;M.Insanally
B.Albanna;R.Froemke
B.Atallah;A.Motiwala
B.Atallah;C.Machens
B.Atallah;J.Paton
B.Atallah;S.Soares
B.Averbeck;A.Mitz
B.Averbeck;P.Browning
B.Averbeck;R.Bartolo
B.Averbeck;R.Saunders
B.Badwan;D.Clark
B.Badwan;E.Salazar
B.Badwan;M.Agrochao
B.Barbour;C.Bimbard
B.Barbour;C.Clopath
B.Barbour;G.Bouvier
B.Barbour;J.Nadal
B.Barbour;N.Brunel
B.Barbour;V.Hakim
B.Behabadi;B.Mel
B.Behabadi;L.JIN
B.Behabadi;M.Jadi
B.Borghuis;C.Ratliff
B.Brinkman;E.Shea-Brown
B.Brinkman;F.Rieke
B.Brinkman;M.Buice
B.Cheung;B.Olshausen
B.Cheung;E.Weiss
B.Cowley;A.Kohn
B.Cowley;A.Zandvakili
B.Cowley;B.Yu
B.Cowley;J.Semedo
B.Cowley;M.Smith
B.Dai;F.Memoli
B.Dai;S.Chowdhury
B.Deverett;A.Giovannucci
B.Deverett;D.Chklovskii
B.Deverett;E.Pnevmatikakis
B.Deverett;J.Friedrich
B.Deverett;V.Staneva
B.Doiron;C.Huang
B.Doiron;M.Leone
B.Doiron;C.Huang
B.Doiron;D.Ruff
B.Doiron;M.Cohen
B.Doiron;C.Bredenberg
B.Ebitz;T.Buschman
B.Ebitz;T.Moore
B.Ermentrout;J.Crimaldi
B.Ermentrout;J.Victor
B.Ermentrout;K.Nagel
B.Ermentrout;M.McHugh
B.Ermentrout;S.Boie
B.Gercek;B.Pandey
B.Gercek;I.Fiete
B.Gercek;R.Chaudhuri
B.Griffiths;U.Beierholm
B.Hein;D.Fitzpatrick
B.Hein;D.Whitney
B.Hein;G.Smith
B.Hein;M.Kaschube
B.Hein;P.Huelsdunk
B.Hein;D.Fitzpatrick
B.Hein;D.Whitney
B.Hein;G.Smith
B.Hein;M.Kaschube
B.Hu;E.Niebur
B.Hu;R.Heydt
B.Jobst;A.Sharan
B.Jobst;B.Lega
B.Jobst;D.Rizzuto
B.Jobst;E.Solomon
B.Jobst;G.Worrell
B.Jobst;J.Kragel
B.Jobst;J.Stein
B.Jobst;K.Davis
B.Jobst;K.Zaghloul
B.Jobst;M.Kahana
B.Jobst;M.Kucewicz
B.Jobst;M.Sperling
B.Jobst;R.Gross
B.Jobst;S.Sheth
B.Lega;A.Sharan
B.Lega;B.Jobst
B.Lega;D.Rizzuto
B.Lega;E.Solomon
B.Lega;G.Worrell
B.Lega;J.Kragel
B.Lega;J.Stein
B.Lega;K.Davis
B.Lega;K.Zaghloul
B.Lega;M.Kahana
B.Lega;M.Kucewicz
B.Lega;M.Sperling
B.Lega;R.Gross
B.Lega;S.Sheth
B.Liu;L.Osborne
B.Liu;M.Macellaio
B.Lowell;C.Burgess
B.Lowell;G.Goldey
B.Lowell;H.Fenselau
B.Lowell;J.Madara
B.Lowell;J.Resch
B.Lowell;K.Levandowski
B.Lowell;M.Andermann
B.Lowell;N.Jikomes
B.Lowell;R.Ramesh
B.Lowell;Y.Livneh
B.Lowell;A.Sugden
B.Lowell;C.Burgess
B.Lowell;H.Fenselau
B.Lowell;K.Levandowski
B.Lowell;M.Andermann
B.Lowell;M.Minnig
B.Lowell;R.Ramesh
B.Mahmoudi;M.Connolly
B.Mahmoudi;R.Gross
B.Mahmoudi;S.Zaidi
B.Mahmoudi;M.Connolly
B.Mahmoudi;R.Gross
B.Malone;A.Hasenstaub
B.Malone;E.Phillips
B.Malone;N.Hoglen
B.Malone;P.Larimer
B.Mel;B.Behabadi
B.Mel;L.JIN
B.Mel;M.Jadi
B.Olshausen;B.Cheung
B.Olshausen;E.Weiss
B.Olshausen;A.Anderson
B.Olshausen;A.Roorda
B.Olshausen;K.Ratnam
B.Olveczky;A.Dhawale
B.Olveczky;M.Smith
B.Olveczky;Y.Miyamoto
B.Opheusden;G.Galbiati
B.Opheusden;W.Ma
B.Opheusden;Y.Li
B.Opheusden;L.Acerbi
B.Opheusden;W.Ma
B.Pandey;B.Gercek
B.Pandey;I.Fiete
B.Pandey;R.Chaudhuri
B.Poole;A.Williams
B.Poole;B.Yu
B.Poole;G.Santhanam
B.Poole;K.Shenoy
B.Poole;N.Maheswaranathan
B.Poole;S.Baccus
B.Poole;S.Ganguli
B.Poole;S.Ryu
B.Radwan;A.Fenton
B.Radwan;D.Dvorak
B.Radwan;F.Sparks
B.Radwan;Z.Talbot
B.Rudy;D.Levenstein
B.Rudy;R.Tremblay
B.Rudy;W.Munoz
B.Scholl;D.Fitzpatrick
B.Scholl;D.Wilson
B.Scholl;D.Fitzpatrick
B.Scholl;D.Wilson
B.Scott;A.Karpova
B.Scott;C.Brody
B.Scott;C.Guo
B.Scott;D.Tank
B.Scott;D.Tervo
B.Scott;S.Thiberge
B.Scott;C.Brody
B.Scott;C.Constantinople
B.Scott;D.Tank
B.Scott;K.Rajan
B.Theilman;T.Gentner
B.Theilman;M.Thielk
B.Theilman;T.Gentner
B.Theilman;T.Sainburg
B.Yu;A.Batista
B.Yu;E.Tyler-Kabara
B.Yu;K.Quick
B.Yu;M.Golub
B.Yu;P.Sadtler
B.Yu;S.Chase
B.Yu;S.Ryu
B.Yu;A.Batista
B.Yu;A.Degenhart
B.Yu;E.Oby
B.Yu;S.Chase
B.Yu;W.Bishop
B.Yu;A.Williams
B.Yu;B.Poole
B.Yu;G.Santhanam
B.Yu;K.Shenoy
B.Yu;N.Maheswaranathan
B.Yu;S.Baccus
B.Yu;S.Ganguli
B.Yu;S.Ryu
B.Yu;A.Batista
B.Yu;E.Tyler-Kabara
B.Yu;J.Hennig
B.Yu;K.Quick
B.Yu;M.Golub
B.Yu;P.Lund
B.Yu;P.Sadtler
B.Yu;S.Chase
B.Yu;S.Ryu
B.Yu;A.Kohn
B.Yu;A.Zandvakili
B.Yu;B.Cowley
B.Yu;J.Semedo
B.Yu;M.Smith
C.Angeloni;M.Aizenberg
C.Angeloni;M.Geffen
C.Barnes;A.Smith
C.Barnes;D.Ba
C.Barnes;D.Gray
C.Barnes;N.Shinitski
C.Barnes;S.Burke
C.Barnes;Y.Zhang
C.Bimbard;B.Barbour
C.Bimbard;C.Clopath
C.Bimbard;G.Bouvier
C.Bimbard;J.Nadal
C.Bimbard;N.Brunel
C.Bimbard;V.Hakim
C.Bredenberg;B.Doiron
C.Brody;A.Akrami
C.Brody;C.Kopec
C.Brody;K.Miller
C.Brody;M.Botvinick
C.Brody;C.Constantinople
C.Brody;A.Karpova
C.Brody;B.Scott
C.Brody;C.Guo
C.Brody;D.Tank
C.Brody;D.Tervo
C.Brody;S.Thiberge
C.Brody;B.Scott
C.Brody;C.Constantinople
C.Brody;D.Tank
C.Brody;K.Rajan
C.Brody;A.Hady
C.Brody;A.Piet
C.Brody;A.Piet
C.Brody;D.Gupta
C.Brody;M.Pagan
C.Burgess;B.Lowell
C.Burgess;G.Goldey
C.Burgess;H.Fenselau
C.Burgess;J.Madara
C.Burgess;J.Resch
C.Burgess;K.Levandowski
C.Burgess;M.Andermann
C.Burgess;N.Jikomes
C.Burgess;R.Ramesh
C.Burgess;Y.Livneh
C.Burgess;A.Sugden
C.Burgess;B.Lowell
C.Burgess;H.Fenselau
C.Burgess;K.Levandowski
C.Burgess;M.Andermann
C.Burgess;M.Minnig
C.Burgess;R.Ramesh
C.Chang;M.Jazayeri
C.Chang;S.Egger
C.Chen;D.Lyzwa
C.Chen;H.Read
C.Chen;M.Escabi
C.Clopath;D.Spicher
C.Clopath;W.Senn
C.Clopath;B.Barbour
C.Clopath;C.Bimbard
C.Clopath;G.Bouvier
C.Clopath;J.Nadal
C.Clopath;N.Brunel
C.Clopath;V.Hakim
C.Clopath;A.Gajic
C.Clopath;R.Silver
C.Constantinidis;A.Compte
C.Constantinidis;J.Barbosa
C.Constantinople;C.Brody
C.Constantinople;B.Scott
C.Constantinople;C.Brody
C.Constantinople;D.Tank
C.Constantinople;K.Rajan
C.Domnisoru;A.Kinkhabwala
C.Domnisoru;D.Tank
C.Domnisoru;J.Gauthier
C.Domnisoru;Y.Gu
C.Eliasmith;E.Hunsberger
C.Gagne;E.Lawrance
C.Gagne;J.Bijsterbosch
C.Gagne;J.O'Reilly
C.Gagne;S.Bishop
C.Gagne;T.Behrens
C.Gunay;A.Prinz
C.Gunay;K.Tian
C.Guo;A.Karpova
C.Guo;B.Scott
C.Guo;C.Brody
C.Guo;D.Tank
C.Guo;D.Tervo
C.Guo;S.Thiberge
C.Haimerl;A.Malvache
C.Haimerl;A.Torcini
C.Haimerl;D.Angulo-Garcia
C.Haimerl;R.Cossart
C.Harvey;C.Runyan
C.Harvey;E.Piasini
C.Harvey;S.Panzeri
C.Hillar;F.Effenberger
C.Hillar;J.Lichtman
C.Hillar;R.Schalek
C.Hillar;X.Lu
C.Huang;D.Martinez
C.Huang;M.Chacron
C.Huang;M.Metzen
C.Huang;B.Doiron
C.Huang;M.Leone
C.Huang;B.Doiron
C.Huang;D.Ruff
C.Huang;M.Cohen
C.Hung;C.Lin
C.Hung;M.Tanifuji
C.Hung;T.Sato
C.Hung;U.Go
C.Hung;Y.Nam
C.Hung;Y.Yamauchi
C.Koch;C.Teeter
C.Koch;D.Feng
C.Koch;J.Berg
C.Koch;N.Cain
C.Koch;N.Gouwens
C.Koch;R.Iyer
C.Koch;S.Mihalis
C.Koch;V.Menon
C.Kopec;A.Akrami
C.Kopec;C.Brody
C.Lin;C.Hung
C.Lin;M.Tanifuji
C.Lin;T.Sato
C.Lin;U.Go
C.Lin;Y.Nam
C.Lin;Y.Yamauchi
C.Lo;A.Chiang
C.Lo;A.Lazar
C.Lo;A.Tomkins
C.Lo;C.Ortiz
C.Lo;C.Wang
C.Lo;C.Yeh
C.Lo;D.Coca
C.Lo;D.Florescu
C.Lo;N.Ukani
C.Lo;P.Richmond
C.Lo;Y.Huang
C.Lo;Y.Zhou
C.Lyu;A.Kim
C.Lyu;G.Maimon
C.Lyu;L.Fenk
C.Machens;A.Alemi
C.Machens;J.Slotine
C.Machens;S.Deneve
C.Machens;A.Motiwala
C.Machens;B.Atallah
C.Machens;J.Paton
C.Machens;S.Soares
C.Machens;N.Calaim
C.Machens;P.Fiquet
C.Machens;S.Deneve
C.Machens;D.Kobak
